filtered_wo_names,count
laughed,29
fine,29
grisha,29
mihailov,29
garden,29
bye,29
grown,29
order,29
road,29
arms,29
secretary,29
dressed,29
black,29
matters,29
duty,29
direction,29
agree,29
tenderness,29
started,29
pretty,29
priest,28
fancy,28
continually,28
serpuhovskoy,28
snipe,28
significance,28
four,28
giving,28
future,28
longer,28
school,28
painful,28
offer,28
minutes,28
poor,28
sometimes,28
moving,28
write,28
village,28
telling,28
run,28
memory,28
less,28
conscious,28
held,28
fond,27
wet,27
exactly,27
allow,27
news,27
rather,27
needed,27
outside,27
comes,27
spiritual,27
youth,27
strong,27
memories,27
onto,27
broken,27
arrived,27
months,27
mowing,27
knowing,27
fully,27
chance,27
bound,27
believed,27
nursery,27
especially,27
pay,27
art,26
dropped,26
joy,26
expressed,26
satisfaction,26
telegram,26
flew,26
body,26
wants,26
nature,26
admit,26
excuse,26
imagination,26
rapidly,26
entrance,26
lighted,26
greater,26
dark,26
conditions,26
manner,26
truth,26
regard,26
freedom,26
bailiff,26
affairs,26
pass,26
appearance,26
varvara,25
drinking,25
meadow,25
system,25
agriculture,25
physical,25
former,25
colonel,25
gray,25
carried,25
longed,25
convinced,25
support,25
discussion,25
wish,25
beyond,25
became,25
supper,25
health,25
dmitrievitch,25
thank,25
dull,25
led,25
decided,25
fault,25
arrival,25
fixed,25
shook,25
charming,25
laugh,25
hurriedly,25
shtcherbatsky,25
laborers,25
showed,25
watch,24
holding,24
moments,24
rights,24
previous,24
visitors,24
religion,24
acquaintances,24
fancied,24
officer,24
paper,24
persons,24
humored,24
frou,24
dressing,24
emotion,24
movement,24
possibly,24
avoid,24
reply,24
expecting,24
fall,24
mistake,24
regiment,24
gown,24
household,24
running,24
marry,24
listen,24
laska,24
humor,24
disagreeable,24
scythe,24
bright,24
wouldn,23
shirt,23
power,23
commission,23
bent,23
girls,23
painting,23
difficulty,23
bit,23
story,23
bowed,23
footman,23
listening,23
whatever,23
angrily,23
cap,23
knowledge,23
single,23
higher,23
property,23
recognized,23
handsome,23
jealous,23
laborer,23
court,23
line,23
wished,23
laughter,23
experienced,23
dead,23
laughing,22
afterwards,22
lawyer,22
sit,22
mouth,22
peculiar,22
learned,22
wedding,22
immense,22
quarrel,22
frame,22
movements,22
six,22
passion,22
phrase,22
however,22
eh,22
soft,22
laid,22
papers,22
elections,22
stupid,22
clerk,22
ordered,22
satisfied,22
department,22
driving,22
kissed,22
agony,22
club,22
governess,22
strength,22
spirits,22
easy,22
guests,22
post,22
sufferings,22
landowner,22
jealousy,22
effect,22
noticing,21
filled,21
within,21
dying,21
considered,21
form,21
opposite,21
presented,21
object,21
interrupted,21
unable,21
path,21
exquisite,21
leaving,21
misery,21
nikolaevna,21
humiliation,21
hurt,21
isn,21
hours,21
couldn,21
upstairs,21
coffee,21
elder,21
bell,21
petritsky,21
slightest,21
nonsense,21
game,21
nearer,21
uniform,21
decision,21
absurd,20
highest,20
unconsciously,20
estate,20
faces,20
pleasant,20
fallen,20
growing,20
loving,20
spoken,20
machine,20
setting,20
mamma,20
metrov,20
excited,20
favorite,20
expect,20
disliked,20
break,20
difference,20
sledge,20
absolutely,20
uttered,20
relation,20
aim,20
committee,20
